Sentences,Opinion Term,Aspect Category,Aspect Polarity ,opinion term,aspect  category,Aspect polarity,opinion term,aspect category ,Aspect polarity ,opinion term,aspect  category ,aspect polarity ,,,,,,
great place to seek best guys,great place to seek best guys,APP utlity,positive,,,,,,,,,,,,,,,
"They have provided an awesome service. I needed to move immediately and they responded so quickly that my packing, moving and unpacking was done in just 3hrs. Also they charged reasonably. Excellent service. I will recommend their service to everyone. Supreme movers and packers",awesome service,company's service,positive,charged reasonably,cost,positive,,,,,,,,,,,,
very user-friendly and cost effective,user friendly ,App UI,positive,cost effective,cost,positive,,,,,,,,,,,,
good service provided,good service,company's service,positive,,,,,,,,,,,,,,,
Clearly...acut above the rest!,acut above the rest,company's service,positive,,,,,,,,,,,,,,,
People are not professional.They do not aarive to time.,do not arrive on time,service quality,negative ,,,,,,,,,,,,,,,
The massage and ac servicing are good.,massage and ac servicing are good,service quality,positive,,,,,,,,,,,,,,,
AC technician sent by Urban Clap was very unprofessional and has no clear idea about the job to be done. We repair AC through Urban Clap and spent RS.3060.00 and with in 40 days the same problem we are facing of no cooling. Now as per Urban Clap representative the quarantine is valid for 30 days. I dont think Urban Clap is recruiting real professionals in there team. VERY POOR AND UNPROFESSIONAL SERVICE. I dont recommend Urban Clap to anybody for any of the services.,unprofessional service,service quality,negative ,spent RS.3060.00 and with in 40 days the same problem ,service quality,negative ,,,,,,,,,,,,
Worst app & worst partners. Mostly Cheaters. I recently booked for packers & Movers from Urban Clap. Army packers & movers called me & agreed for 5500. But after shifting they charged 7000. So be aware from such fraud people if u dont to waste your hard earned money.,worst app,service quality,negative ,But after shifting they charged 7000. ,payment,negative ,,,,,,,,,,,,
"I have requested for two services so far. Professionals are so good. App experience jo complaints , simple and neat.",professionals are so good,company's service,positive,,,,,,,,,,,,,,,
Good one. Trustable than the local service providers.,trustable,company's service,positive,,,,,,,,,,,,,,,
"urban clap is providing very bad service,the technician on their platform are quoting exhorbitant price for repair,i had a very bad experience,better to go for local technician.Their customer support is non existent and non responsive.",bad service,company's service,negative ,exhorbitant price,cost,negative ,,,,,,,,,,,,
recently had a very bad experience wherein the professional assinged refused to come ln time and requested for a reschedule..no help from Urbanclap..was a regular customer earlier but this kind of attitude is not acceptable and henceforth wont be using this app,bad experience,service quality,negative ,,,,,,,,,,,,,,,
nice app to get services for your appliances without facing any problem.,nice app to get services,APP utlity,positive,,,,,,,,,,,,,,,
no way to reach customer care. they haven't got back to me even after escalation of the issue on my booking,no way to reach customer care,customer support,negative ,,,,,,,,,,,,,,,
Very professional with positive attitude and smile.,very professional,company's service,positive,,,,,,,,,,,,,,,
cuidado home services delivered good service. worth for money. thanks for work,good service,company's service,positive,worth the money,cost,positive,,,,,,,,,,,,
superb concept.luxury service feeling at home,superb concept,APP utlity,positive,luxury service,company's service,positive,,,,,,,,,,,,
User Experience is very poor.. When i share my location before selecting services it must mention that services are not available in my area.. Why you make the user go through every selection and in the end mention its not available.. This app doesn't deserve even one star.,user experience very poor,App UI,negative ,,,,,,,,,,,,,,,
15/05/2109-Very bad experience. Called in a technician to repair my refrigerator. He charged me a hefty amount and still the refrigerator is not working just after one day of getting it repaired. Reached out to urban clap multiple times but no one has responded. It was a mistake relying and trusting urban clap. 19/05/2019- Issue still not resolved. Urban clap scheduled a visit from a new technician who advised to call the old one. Pathetic experience - Urban Clap!!,very bad experience',company's service,negative ,He charged me a hefty amoun,cost,negative ,no one has responded.,customer support,negative ,,,,,,,,,
very good professional technician,professional technician,company's service,positive,,,,,,,,,,,,,,,
"pathetic experience, the executive they provide to repair ur things those are not worthy",pathetic experience,company's service,negative ,,,,,,,,,,,,,,,
charge extra money for 5 to 7 min,charge extra money,cost,negative ,,,,,,,,,,,,,,,
riseup movers and packers are just Awesome. ...one of the best...nothing to complain...whenever u ask for them....specially ask for Mr laalsaheb ( the labourer)...he is very hardworking....,one of the best,service quality,positive,,,,,,,,,,,,,,,
"if there is any negativ comment option than have to use negative comment for urbanclap, previously i was regular user of House Joy but i have relocate and house joy service is not available at my location so i decided to use urbanclap. worst experience to use urbanclap as their commitment is not as per their promises. they are making fool and generating revenue from doing false commitment. Never recommend urban clap service to any one house joy is far far better than this.",worst experience,company's service,negative ,,,,,,,,,,,,,,,
"Your scope of home service is wide and very useful. So far, experience has been good.",very useful ,APP utlity,positive,,,,,,,,,,,,,,,
"Good service, skilled personnel.",good service,company's service,positive,skilled personnel,service quality,positive,,,,,,,,,,,,
Without urban clap I can't survive in gurgaon. Just feeling that I know everything about gurgaon. Highly recommended and appreciated app. Nice business model which generated work for skilled workers and fulfilled need of a devoloping nation,recommended and appreciated app,APP utlity,positive,,,,,,,,,,,,,,,
